Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time QP (ms),Total time FP (ms)
0.655011,16.0018,1038.84,5,31,0.12,220.941,0.016,39.116,11.547,170.252,0,375.15
0.892652,4.42396,2464.67,10,31,0.18,720.078,0.054,152.642,36.552,530.796,0,866.726
0.745978,11.569,1377.02,6,31,0.166667,383.299,0.028,72.687,19.98,290.586,0,456.964
0.648367,13.8794,1020.18,5,31,0.12,223.851,0.017,39.864,11.164,172.794,0,348.167
0.320621,30.0488,1116.36,5,31,0.16,308.665,0.023,59.771,16.396,232.461,0,355.305
0.852834,6.18005,1414.95,6,31,0.166667,390.591,0.027,78.929,20.427,291.188,0,487.086
0.91087,4.14787,1688.23,7,31,0.171429,469.845,0.035,95.996,23.64,350.156,0,593.179
0.581857,17.5979,1202.65,5,31,0.2,378.724,0.028,68.806,19.351,290.52,0,371.51
0.645957,16.7148,1064.16,5,31,0.12,226.505,0.017,40.5,11.874,174.106,0,385.601
0.892271,4.74458,2453.57,10,31,0.2,768.197,0.06,140.252,39.269,588.581,0,804.152
0.623258,16.9666,1139.57,5,31,0.16,302.57,0.023,57.013,14.65,230.87,0,379.301
0.371877,30.2724,1145.18,5,31,0.16,303.379,0.023,58.004,16.439,228.901,0,384.922
0.773578,9.25283,1393.04,6,31,0.166667,387.426,0.03,75.031,19.335,293.015,0,467.464
0.766944,10.7144,1227.78,5,31,0.2,379.454,0.027,72.353,18.61,288.444,0,389.881
0.693017,13.0009,1507.93,6,31,0.2,469.975,0.033,95.885,24.058,349.978,0,492.588
0.575705,17.2959,1096.79,5,31,0.16,299.574,0.023,52.808,15.309,231.42,0,339.774
0.630495,16.9683,1534.58,6,31,0.2,478.128,0.034,101.86,22.704,353.507,0,516.678
