Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time QP (ms),Total time FP (ms)
0.390781,25.9229,533.859,1,13,100,440.899,0.07,417.204,0,23.622,24.389,34.689
0,41.4654,709.491,1,13,100,465.819,0.079,442.128,0,23.61,186.462,26.402
0.658985,15.5957,595.55,1,13,100,480.09,0.074,456.267,0,23.746,50.151,30.892
0.894903,4.75286,616.044,1,13,100,504.933,0.078,481.14,0,23.712,46.754,29.618
0,38.9761,708.955,1,13,100,465.021,0.075,441.219,0,23.723,184.565,27.56
0.678211,12.4771,569.205,1,13,100,471.35,0.075,447.114,0,24.157,29.684,34.247
0,45.9092,700.66,1,13,100,458.153,0.07,434.41,0,23.67,184.63,26.946
0,40.5555,750.717,1,13,100,501.815,0.071,477.845,0,23.896,187.27,28.953
0.419473,24.2143,534.171,1,13,100,438.625,0.073,414.752,0,23.798,27.239,34.704
0.430554,24.2278,541.168,1,13,100,447.462,0.078,423.859,0,23.523,25.827,34.7
0.256562,33.9402,716.859,1,13,100,522.186,0.073,498.461,0,23.649,131.631,29.013
