baseline,baseline,baseline,baseline,baseline,setInterval_100,setInterval_100,setInterval_100,setInterval_100,setInterval_100,setInterval_1000,setInterval_1000,setInterval_1000,setInterval_1000,setInterval_1000,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
216.308,0.986444,100,13.4108,5,153.62,0.986484,1.03571,1.8384,5,150.135,0.986394,0.142857,1.5752,5,154.281,0.986463,2.03571,2.4786,5,170.04,0.986483,1.34286,4.4686,5,
298.175,0.961547,100,12.8026,7,191.192,0.961841,1.03571,2.096,7,202.543,0.962033,0.142857,1.61643,7,220.04,0.961651,2.03571,2.93586,7,235.458,0.961436,1.71939,5.28171,7,
292.62,0.996169,100,13.2197,7,199.227,0.996164,1.03571,1.73614,7,160.771,0.996181,0.142857,1.63183,6,185.864,0.996186,2.03571,2.53267,6,215.897,0.996172,2.08673,3.62914,7,
336.138,0.997008,100,13.3008,8,205.168,0.997069,1.03571,1.85271,7,240.142,0.996677,0.142857,1.66037,8,239.256,0.997001,2.03571,2.59963,8,216.259,0.997205,2.09184,3.58371,7,
298.052,0.962924,100,12.8667,7,213.975,0.963036,1.03571,1.939,7,208.3,0.961892,0.142857,1.56171,7,219.248,0.962944,2.03571,2.95986,7,242.967,0.962975,1.66837,5.73743,7,
299.366,0.967205,100,12.7994,7,181.705,0.967619,1.03571,1.87783,6,193.663,0.966807,0.142857,3.949,6,184.331,0.967437,2.03571,2.49833,6,217.517,0.967316,2.4949,3.90871,7,
252.495,0.963792,100,13.0117,6,178.446,0.963777,1.03571,1.86233,6,181.167,0.96217,0.142857,1.67433,6,177.81,0.9638,2.03571,2.61183,6,159.792,0.963763,2.17857,3.3196,5,
171,0.875673,100,12.8742,4,123.727,0.875726,1.03571,1.9415,4,119.679,0.874709,0.142857,1.6045,4,122.365,0.875734,2.03571,2.44875,4,115.92,0.875679,2.04464,3.2435,4,
199.308,0.971662,100,12.9504,5,136.987,0.971672,1.03571,1.7542,5,128.779,0.97168,0.142857,1.7904,5,174.194,0.971665,2.03571,7.668,5,144.669,0.971704,0.928571,2.3082,5,
251.21,0.99904,100,13.3995,6,172.113,0.999042,1.03571,1.75033,6,183.013,0.998991,0.142857,1.785,6,177.761,0.999039,2.03571,2.48467,6,182.31,0.999044,1.41071,2.931,6,
172.059,0.927505,100,12.6802,4,119.988,0.927516,1.03571,1.62625,4,122.896,0.927457,0.142857,2.2205,4,128.562,0.927511,2.03571,3.315,4,123.585,0.927509,0.982143,2.379,4,
259.332,0.987007,100,12.8138,6,178.915,0.986957,1.03571,1.72167,6,181.945,0.986174,0.142857,1.95017,6,186.135,0.987014,2.03571,2.55233,6,191.741,0.987028,2.88095,4.118,6,
