baseline,baseline,baseline,baseline,baseline,baseline,SI2,SI2,SI2,SI2,SI2,SI2,adapJerk,adapJerk,adapJerk,adapJerk,adapJerk,adapJerk,
final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,
0.00892081,45.4811,19.7425,0.718893,1.5258,100,0.0814458,63.9954,12.7711,0.698158,2.15686,52,1.46993,97.3969,5.91912,0.63151,3.71664,23.7024,
2.66751,38.3854,22.8809,0.704618,2.46604,100,1.36856,65.2527,10.3334,0.655097,4.33653,52,2.20893,95.8617,7.35819,0.708632,2.36488,26.4898,
0.284988,46.286,19.2201,0.733408,1.6513,100,1.45102,71.5933,9.68562,0.68989,3.59227,52,0.0509696,95.6633,7.43344,0.726005,2.29388,24.7418,
0.0219476,50.5099,17.4733,0.725349,1.59943,100,0.675507,68.8632,11.0557,0.700236,2.76562,52,0.360124,87.3544,8.04911,0.692644,2.70587,25.3451,
0.0333975,43.8727,20.8081,0.724677,1.26044,100,0.36592,65.8797,11.9175,0.721464,2.54018,52,1.91625,82.3217,8.37314,0.700222,3.0741,27.9478,
0.0042358,44.5158,20.2283,0.73156,1.50412,100,0.150891,65.2101,12.2765,0.722408,2.33611,52,0.726122,84.3974,8.98635,0.73959,2.12277,24.8249,
3.83254,33.1472,25.4561,0.695262,4.0171,100,3.18143,55.7922,12.5689,0.68987,4.66495,52,0.0804716,95.799,7.41877,0.6822,2.33755,32.0024,
0.0200832,49.9855,17.8642,0.734904,1.40671,100,1.56958,63.0235,11.7986,0.672136,3.39639,52,0.18791,102.794,6.91317,0.69764,2.11734,26.1038,
0.012145,46.1448,19.622,0.736227,1.31272,100,4.17996,54.5612,14.669,0.703895,2.95518,52,0.193512,95.3987,7.19334,0.680385,2.6086,24.8391,
0.00626481,47.3356,19.0382,0.726363,1.36121,100,1.64281,62.3105,13.383,0.725742,1.93992,52,0.0111369,94.0936,7.63233,0.709429,2.28595,26.6011,
0.026873,46.4052,19.4173,0.726959,1.40502,100,11.8822,58.338,12.8697,0.68243,3.58936,52,0.239123,84.3461,8.37815,0.688891,2.78887,26.9111,
0.0876291,44.6342,20.3893,0.728792,1.28619,100,10.045,65.6719,11.5676,0.679779,2.97987,52,0.0284844,96.6178,7.64857,0.728187,1.9733,25.3416,
1.6373,40.0648,21.6614,0.715024,2.58309,100,2.63002,46.3925,14.9554,0.684507,5.91533,52,0.760442,85.8426,7.4658,0.674559,3.50886,30.584,
0.0259163,52.6943,16.8627,0.729691,1.38501,100,0.0253729,64.0417,12.078,0.703375,2.83349,52,0.163534,87.5171,8.08865,0.709704,2.62799,27.1584,
0.614386,38.257,23.6232,0.711429,1.8044,100,4.51291,60.0149,13.2543,0.686999,2.72118,52,0.231887,85.4709,8.24416,0.679526,2.7762,26.3811,
0.295534,35.2323,24.3296,0.706364,3.34713,100,0.0513112,72.7334,9.94788,0.700844,3.10012,52,0.0373091,103.019,6.50074,0.684149,2.5221,26.3796,
0.0178187,52.2841,17.0643,0.734938,1.32702,100,0.0238831,57.7505,14.813,0.726924,1.77592,52,0.175178,87.7871,9.11617,0.739685,1.53534,26.0776,
0.0779598,38.4583,23.4642,0.709691,1.82834,100,0.186393,68.4107,11.651,0.710441,2.2561,52,0.0240341,100.713,7.05123,0.702068,2.17595,25.5758,
0.00429946,51.37,17.4311,0.724471,1.31105,100,3.26051,57.2883,13.4826,0.70721,3.26574,52,0.0743688,97.5863,7.69347,0.721997,1.83188,26.6249,
3.22518,35.5726,24.6691,0.707603,2.73485,100,3.07993,53.5954,13.7406,0.690585,4.22712,52,0.0927699,102.22,6.71403,0.700115,2.36871,30.3456,
0.00755828,47.3,18.9202,0.731687,1.48975,100,0.315972,63.6764,13.0329,0.738812,1.93271,52,0.048111,97.4051,7.83824,0.736664,1.6915,24.7458,
