baseline,baseline,baseline,baseline,baseline,setInterval5,setInterval5,setInterval5,setInterval5,setInterval5,setInterval20,setInterval20,setInterval20,setInterval20,setInterval20,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_accel,adaptive_accel,adaptive_accel,adaptive_accel,adaptive_accel,iterative_error,iterative_error,iterative_error,iterative_error,iterative_error,setInterval5_bpp,setInterval5_bpp,setInterval5_bpp,setInterval5_bpp,setInterval5_bpp,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
11.2965,0.370586,100,1.43022,4,8.08511,0.374666,20.0455,0.350267,4,7.51687,0.374144,5.04545,0.128743,4,7.58659,0.42162,1.3,0.103109,4,7.72541,0.433645,1.29697,0.112715,4,7.77364,0.343538,0.587879,0.107305,4,5.34759,0.360295,20.0455,0.340556,6,4.7379,0.352075,5.04545,0.131104,6,4.25534,0.364339,1.2697,0.104321,5,4.21923,0.357338,1.31515,0.0993333,5,4.49497,0.338047,1.31818,0.153465,5,
13.7348,0.203109,100,1.57557,4,8.81514,0.37997,20.0455,0.351897,4,9.87404,0.372764,5.04545,0.135686,5,7.9445,0.30175,1.59091,0.129904,4,7.78135,0.335639,1.55455,0.130625,4,7.92996,0.284685,0.887879,0.148244,4,5.96318,0.416944,20.0455,0.354974,6,4.42564,0.375591,5.04545,0.129133,5,4.57584,0.440475,1.5,0.12052,5,4.50957,0.43186,1.6,0.125088,5,4.5271,0.278455,1.45152,0.187876,5,
14.1887,0.285163,100,1.72461,4,8.95523,0.290397,20.0455,0.396074,4,7.87035,0.257121,5.04545,0.146431,4,8.12638,0.287723,2.06364,0.178868,4,8.08921,0.230355,1.93939,0.165983,4,8.22723,0.263894,2.12424,0.214155,4,4.5648,0.233428,20.0455,0.403844,5,4.7037,0.0231851,5.04545,0.145113,5,4.54916,0.224552,2.25152,0.180107,5,4.52893,0.0336217,1.84848,0.157607,5,4.37403,0.196268,0.657576,0.111102,5,
10.8817,0.00222506,100,1.84942,4,9.2325,0.252708,20.0455,0.45965,4,8.13577,0.247794,5.04545,0.154601,4,8.17226,0.249549,2.8303,0.204651,4,8.08789,0.282593,2.22424,0.182422,4,8.13599,0.225778,1.89697,0.202249,4,4.49371,0.000869803,20.0455,0.450081,5,4.37089,0.000543212,5.04545,0.151341,5,4.4751,0.0211243,2.74848,0.182873,5,4.02496,0.0323535,2.13333,0.160586,5,4.38083,0.00993085,1.23636,0.187514,5,
14.6653,0.342352,100,1.81601,4,8.91833,0.35934,20.0455,0.39098,4,7.80374,0.394823,5.04545,0.139551,4,8.19045,0.329492,2.7,0.20073,4,8.04724,0.21241,2.42424,0.183145,4,8.02097,0.395202,1.45758,0.150355,4,4.68957,0.29822,20.0455,0.384536,5,4.79614,0.349408,5.04545,0.147595,6,4.61053,0.194035,2.4697,0.179837,5,4.9751,0.10401,2.06061,0.156494,6,4.27028,0.347699,1.69091,0.180305,5,
15.5622,0.381616,100,1.63284,5,8.36731,0.383804,20.0455,0.385661,4,7.84059,0.357727,5.04545,0.141427,4,7.85176,0.366867,1.7697,0.161268,4,7.39326,0.337552,1.46667,0.135667,4,7.90334,0.353042,1.44242,0.165173,4,5.72678,0.317528,20.0455,0.422817,6,4.69816,0.3217,5.04545,0.150298,6,4.77327,0.334772,1.48788,0.134379,6,4.7807,0.330988,1.45758,0.125904,6,4.16851,0.330297,1.75758,0.170565,5,
14.2238,0.380202,100,1.70085,4,8.93735,0.339658,20.0455,0.394698,4,7.74048,0.339675,5.04545,0.137518,4,7.91176,0.324386,1.61515,0.142881,4,7.97435,0.3234,1.58788,0.149397,4,7.96276,0.28814,1.14242,0.161675,4,5.79363,0.331161,20.0455,0.394707,6,5.11998,0.375834,5.04545,0.143261,6,5.08327,0.392832,1.67879,0.124895,6,4.68038,0.296416,1.45455,0.114329,5,4.42936,0.382598,0.460606,0.109024,5,
14.3627,0.331058,100,1.7775,4,8.87114,0.308071,20.0455,0.395372,4,7.89887,0.314386,5.04545,0.145243,4,8.00788,0.339974,1.78788,0.178646,4,7.87788,0.340726,1.65455,0.153284,4,7.96748,0.32527,1.7697,0.172588,4,4.76112,0.31909,20.0455,0.415868,5,4.14287,0.312593,5.04545,0.155789,5,4.23926,0.326134,1.60909,0.14683,5,4.2599,0.353164,1.56667,0.132653,5,4.86117,0.300055,1.81818,0.175199,6,
12.0897,0.420812,100,1.62263,4,8.25219,0.340871,20.0455,0.371668,4,7.49046,0.35806,5.04545,0.144081,4,8.04197,0.334907,2.42727,0.17629,4,9.67877,0.323372,2.28788,0.175261,5,7.41889,0.257616,0.515152,0.0920943,4,5.33526,0.267184,20.0455,0.363482,5,4.15507,0.234187,5.04545,0.132367,5,4.0382,0.192106,2.17273,0.158082,5,4.38218,0.367425,2.17273,0.151473,5,4.10134,0.142086,0.375758,0.076245,5,
14.5002,0.476416,100,1.76267,4,10.6754,0.494719,20.0455,0.399861,5,7.93056,0.470907,5.04545,0.14698,4,8.13994,0.418007,3.31515,0.212554,4,8.30295,0.426676,3.37576,0.238777,4,8.34548,0.467146,2.05455,0.221503,4,4.80308,0.490509,20.0455,0.406025,5,4.20753,0.504137,5.04545,0.143643,5,4.58924,0.502654,2.97576,0.195443,5,4.86722,0.497931,2.95152,0.197406,5,4.69906,0.545736,0.936364,0.162602,5,
