baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI1000,SI1000,SI1000,SI1000,SI1000,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
9201.41,0.795295,100,1641.74,5,3760.2,0.758451,20.0357,351.425,7,1204.29,0.718198,0.142857,14.182,5,1596.95,0.803347,1.61961,51.8636,7,967.231,0,0.686508,7.98333,3,2021.12,0.894217,4.27041,110.636,7,
10691.4,0.588005,100,1622.87,6,3799.96,0.593402,20.0357,366.469,7,818.647,0.15935,0.142857,18.2325,4,1226.29,0.842673,1.94048,79.1886,5,973.139,0,0.694444,9.56133,3,2132.07,0.871883,6.91138,196.861,6,
7052.12,0.230432,100,1603.52,4,3736.25,0.70445,20.0357,369.573,7,858.844,0.255626,0.142857,15.3433,4,1680.26,0.858296,1.51587,71.8453,6,977.979,0,0.670635,10.4573,3,1995.43,0.874254,3.88029,124.05,6,
10576.7,0.707369,100,1596.73,6,2619.71,0.631843,20.0357,355.98,5,975.553,0.77004,0.142857,19.2676,5,1190.12,0.746778,1.52302,59.6328,5,981.595,0,0.686508,10.7793,3,1927.05,0.602952,4.37368,143.398,6,
9011.26,0.748365,100,1622.22,5,2622.1,0.741745,20.0357,337.332,5,910.228,0.100117,0.142857,11.4908,4,1216.9,0.66156,1.1832,36.2325,6,972.334,0,0.678571,10.227,3,1575.6,0.690703,3.10185,91.7683,6,
9606.94,0.639228,100,1721.65,5,2801.23,0.604379,20.0357,363.174,5,1273.96,0.561539,0.142857,11.6323,6,1306.77,0.571785,1.46098,48.5568,6,972.616,0,0.809524,10.9833,3,1354.8,0.491937,3.08175,81.7378,5,
7150.73,0.279126,100,1643.51,4,2732.61,0.638337,20.0357,363.76,5,1356.06,0.728646,0.142857,17.3028,6,1349.04,0.679931,1.26124,38.8865,6,986.795,0,0.944444,14.1377,3,1810.12,0.343302,4.08796,112.765,6,
2480.94,0,100,513.225,3,1254.8,0,20.0357,106.32,3,1358.8,0.649407,0.142857,11.6723,6,963.269,0,1.04365,7.13367,3,983.442,0,0.777778,14.1443,3,987.579,0,1.7381,15.2737,3,
9623.37,0.713096,100,1731.79,5,2865.47,0.761657,20.0357,371.292,5,898.161,0.321965,0.142857,20.0488,4,2020.06,0.818137,2.23859,90.6094,8,972.427,0,0.678571,10.1143,3,1436.12,0.700377,3.46825,90.7344,5,
9146.57,0.790569,100,1633.88,5,2701.31,0.841928,20.0357,342.81,5,1125.95,0.922135,0.142857,8.74183,6,1170.51,0.933168,1.32063,40.952,5,973.272,0,0.686508,10.2593,3,1436.23,0.930267,2.72857,91.5822,5,
12375.5,0.904411,100,1630.89,7,3312.55,0.56494,20.0357,361.309,6,809.172,0.244638,0.142857,15.2148,4,1691.29,0.827779,1.63322,56.4137,7,980.545,0,0.686508,9.73267,3,2430.42,0.710484,5.58503,167.112,7,
11834.6,0.714228,100,1554.53,7,1268.4,0,20.0357,109.343,3,953.934,0,0.142857,4.07833,3,986.443,0,1.42063,14.583,3,1000.25,0,1.47619,20.1733,3,1071.11,0,3.77381,44.845,3,
13211.9,0.769976,100,1550.52,8,3107.34,0.875699,20.0357,358.367,6,883.368,0.0989594,0.142857,21.8788,4,1679.82,0.753426,2.14616,93.77,6,975.805,0,0.678571,11.0343,3,2024.43,0.889667,5.21892,182.265,6,
5113.79,0.0507198,100,1562.75,3,2624.59,0.675429,20.0357,354.76,5,947.76,0.155671,0.142857,20.7403,4,1192.85,0.789983,1.56984,64.4302,5,987.32,0,0.626984,14.0273,3,1916.27,0.588487,4.39616,141.904,6,
13278.4,0.817677,100,1524.89,8,3095.62,0.878265,20.0357,356.263,6,462.292,0.0337886,0.142857,16.929,3,1328.77,0.699147,2.16111,74.4002,5,973.22,0,0.710317,10.7713,3,1910.73,0.870859,5.42196,154.597,6,
13036.5,0.679019,100,1525.11,8,1301.37,0,20.0357,119.171,3,1280.24,0.748817,0.142857,12.9762,6,989.154,0,1.4127,16.485,3,995.447,0,1.23016,16.7607,3,1104.73,0,4.1627,56.358,3,
5402.61,0.0240751,100,1615.93,3,3125.85,0.505422,20.0357,358.215,6,735.977,0.758082,0.142857,16.0896,5,1600.67,0.885217,2.29649,78.9811,7,980.944,0,0.77381,10.899,3,2026.64,0.501855,5.75463,172.803,6,
11670,0.547563,100,1568.96,7,3084.85,0.529107,20.0357,354.784,6,449.731,0.0462058,0.142857,19.1573,3,1445.45,0.912325,2.32474,78.8735,6,978.515,0,0.666667,9.589,3,1969.62,0.474087,5.17659,163.69,6,
10568.1,0.733965,100,1591.09,6,1220.59,0.00985274,20.0357,216.943,3,1433.3,0.909602,0.142857,11.5627,7,662.821,0.00998247,1.39087,30.0117,3,970.558,0,0.662698,9.73733,3,890.611,0.00992325,3.97421,104.777,3,
13084.2,0.780034,100,1510.68,8,3681.81,0.764013,20.0357,354.043,7,938.582,0.363885,0.142857,10.9415,4,1162.77,0.719386,1.33095,42.0414,5,989.946,0,0.924603,15.0783,3,2112.26,0.850767,5.96825,174.896,6,
13222.2,0.814683,100,1550.24,8,3124.43,0.836727,20.0357,352.453,6,900.171,0.24423,0.142857,14.744,4,1467.05,0.575802,2.26349,88.0262,5,978.423,0,0.662698,12.0707,3,1971.23,0.716308,5.17063,169.501,6,
8800.81,0.865419,100,1554.56,5,2890.58,0.651725,20.0357,354.326,5,984.734,0.360713,0.142857,19.1892,4,1218.95,0.792907,1.41429,44.6912,5,970.424,0,0.718254,10.3493,3,1571.96,0.676311,3.58968,122.969,5,
13046.9,0.886654,100,1513.77,8,3541.88,0.673567,20.0357,348.072,7,1056.05,0.858248,0.142857,14.3945,6,556.934,0.0495579,1.47354,43.436,3,965.318,0,0.626984,9.32767,3,1568.29,0.830132,4.30714,128.92,5,
