baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI1000,SI1000,SI1000,SI1000,SI1000,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
4999.06,0.161205,100,1066.99,4,1646.19,0.163595,20.0357,233.245,4,878.314,0.340763,0.142857,8.875,5,792.507,0.171474,1.04266,16.679,4,544.773,0.159943,0.590278,23.184,4,884.99,0.163542,2.07937,38.9445,4,
2395.24,0,100,394.187,3,1475.92,0.00204413,20.0357,160.104,3,1210.48,0,0.142857,2.75067,3,1244.02,0,1.11905,6.61233,3,1114.18,0.00295637,1.9127,42.7877,3,2647.97,0.465658,7.20337,139.688,8,
6951.19,0.355599,100,1216.21,5,2153.25,0.357966,20.0357,263.798,5,970.732,0.357785,0.142857,12.8836,5,969.378,0.357555,1.11825,20.5592,5,1058.32,0.338538,0.826984,29.0008,5,1245.25,0.358138,4.70952,81.4816,5,
2295.08,0,100,385.547,3,1388.18,0,20.0357,90.249,3,850.16,0.361484,0.142857,9.408,5,905.611,0.00145806,1.06746,13.6567,3,1244.55,0,5.11905,40.0627,3,952.492,0.00312372,2.10714,39.056,3,
5206.69,0.131996,100,1107.28,4,1689.7,0.132663,20.0357,231.274,4,591.329,0.0927491,0.142857,8.75725,4,850.601,0.133423,1.09524,19.9233,4,1221.38,0,0.666667,7.32567,3,961.182,0.13196,2.45635,48.3977,4,
5018.69,0.143417,100,1064.3,4,1669.67,0.142274,20.0357,230.542,4,586.014,0.0960581,0.142857,8.63275,4,806.438,0.151338,1.04167,16.906,4,1185.56,0,0.730159,8.88067,3,964.037,0.143343,2.37202,48.5793,4,
4962.56,0.195823,100,1054.64,4,1604.81,0.198318,20.0357,226.447,4,890.662,0.345313,0.142857,8.5886,5,802.017,0.200857,1.03968,18.5912,4,987.025,0.254186,0.570635,19.2846,5,1016.88,0.198396,2.82242,79.1875,4,
2900.76,0.0275641,100,689.927,3,1290.55,0.0276301,20.0357,151.701,3,875.152,0.0271207,0.142857,13.4677,3,877.399,0.027587,1.05556,12.2247,3,1139.31,0,0.988095,17.128,3,958.544,0.0274912,3.21429,41.046,3,
6483.78,0.321484,100,1129.74,5,2073.71,0.318961,20.0357,247.361,5,991.342,0.317526,0.142857,14.4576,5,923.134,0.320113,1.09444,22.9246,5,1020.12,0.109676,1.95337,70.6287,4,1497.12,0.317876,7.65635,131.215,5,
6518.83,0.359532,100,1135.74,5,1986.5,0.350676,20.0357,234.307,5,925.738,0.372639,0.142857,11.734,5,902.781,0.360015,1.07698,19.3396,5,984.677,0.288165,0.881746,25.7478,5,1232.38,0.361126,4.09127,80.3064,5,
