baseline,baseline,baseline,baseline,baseline,setInterval_1000,setInterval_1000,setInterval_1000,setInterval_1000,setInterval_1000,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
3971.92,0.142078,100,473.613,6,1604.04,0.143193,0.142857,4.088,6,1735.2,0.138488,2.07143,13.3488,6,1820.63,0.140418,3.15397,38.1188,6,
5022.68,0.0503712,100,464.807,6,1571.25,0.0512338,0.142857,4.1758,6,1989.44,0.0510134,2.06085,13.3828,6,1996.84,0.0513524,1.52513,22.163,6,
5323.97,0.222937,100,522.581,6,2308.65,0.156926,0.142857,4.8408,6,2816.35,0.222138,2.20476,17.7182,6,2997.32,0.205342,10.0937,105.751,6,
4679.38,0.124342,100,512.549,6,2069.51,0.111353,0.142857,4.60867,6,1730.08,0.114416,2.06905,14.562,6,2054.88,0.113114,2.13175,29.5554,6,
5022.72,0.244672,100,478.066,6,3923.95,0.244759,0.142857,4.33233,6,4040.33,0.244792,2.0496,13.705,6,4061.95,0.244631,0.460317,10.382,6,
5354.77,0.0611838,100,498.39,6,2045.43,0.0398768,0.142857,4.6795,6,1943.55,0.0360064,2.07937,13.6788,6,1952.59,0.0362276,1.0873,15.2692,6,
3949.74,0.0363205,100,463.554,6,1695.66,0.0360314,0.142857,4.05633,6,1696.14,0.0348515,2.04762,12.4406,6,1728.19,0.0350029,1.51587,19.0238,6,
4906.93,0.0568376,100,461.354,6,2547.85,0.0562195,0.142857,4.036,6,2598.46,0.0569015,2.04683,12.5318,6,2679.35,0.0553541,4.7381,59.6667,6,
5555.02,0.0673473,100,695.319,6,2331.14,0.0522244,0.142857,5.62417,6,2689.68,0.0575683,2.07606,20.2805,6,2819.93,0.0574127,4.13492,76.9688,6,
7096.41,0.0789763,100,667.602,6,3743.46,0.0804481,0.142857,6.547,6,3609.32,0.0734554,2.06151,20.6233,6,5075.18,0.0729748,4.96825,89.7402,6,
8242.54,0.0700579,100,715.882,6,2966.69,0.0682484,0.142857,6.3286,6,3785.88,0.0662483,2.09524,22.8525,6,2875.18,0.0629295,6.12169,75.7325,6,
5026.95,0.174167,100,491.67,6,2722.16,0.138567,0.142857,4.1758,6,2637.85,0.153278,2.06508,13.9492,6,2705.32,0.157112,2.40317,31.883,6,
4424.47,0.406476,100,453.496,6,1585.6,0.184897,0.142857,3.8578,6,2099.28,0.354287,2.13333,14.9278,6,2951.63,0.384687,9.68056,104.151,6,
3932.61,0.0389658,100,462.521,6,2600.7,0.0432885,0.142857,4.1978,6,1662.6,0.0387061,2.04762,12.7716,6,3783.56,0.0622904,0.301587,7.345,6,
4673.71,0.186713,100,510.407,6,2301.35,0.190019,0.142857,4.4632,6,2235.95,0.196722,2.0627,14.2026,6,2402.26,0.180803,4.93492,56.122,6,
4044.04,0.063776,100,462.405,6,1734.3,0.0608983,0.142857,4.2848,6,2195.79,0.0545843,2.1746,15.5463,6,2211.49,0.0600494,2.71746,33.3724,6,
4404.45,0.0876277,100,451.799,6,2099.08,0.0815492,0.142857,4.0864,6,2178.31,0.0701119,2.52381,17.819,6,2344.25,0.0684249,3.28307,41.2647,6,
4547.36,0.0628075,100,455.189,6,1982.88,0.0613253,0.142857,4.0616,6,2321.05,0.0626255,2.05794,12.7856,6,2372.63,0.0625933,1.46825,22.4582,6,
4747.69,0.130037,100,468.43,6,3206.07,0.129935,0.142857,4.603,6,3351.48,0.129946,2.05291,13.4223,6,3280.78,0.130085,0.489418,11.8107,6,
5920.03,0.147907,100,501.023,6,3211.21,0.133804,0.142857,4.5392,6,2961.85,0.125733,2.05291,13.347,6,4248.56,0.197923,0.706349,13.231,6,
4207.47,1.01425,100,419.828,6,1650.93,0.734303,0.142857,4.2786,6,2075.22,1.25082,2.87778,29.03,6,2441.63,0.772429,3.63624,42.695,6,
4459.79,0.0475475,100,457.082,6,2261.17,0.0489581,0.142857,5.166,6,2765.45,0.046812,2.04894,12.6632,6,2379.75,0.043685,7.51058,80.1483,6,
5636.54,0.0617438,100,473.512,6,2170.34,0.0588966,0.142857,4.208,6,2114.08,0.0496242,2.06746,14.1987,6,2118.19,0.0480737,1.42989,17.988,6,
4405.23,0.143601,100,454.496,6,2365.12,0.139483,0.142857,4.1374,6,2384.75,0.136178,2.08175,13.2192,6,2443.91,0.136134,2.00635,26.8024,6,
4616.97,0.0465678,100,459.276,6,3013.35,0.0503389,0.142857,4.5478,6,3098.55,0.0485522,2.04894,12.5963,6,1962.36,0.0456482,4.59365,56.9156,6,
4817.21,0.168303,100,498.122,6,2373.3,0.145995,0.142857,4.4022,6,2212.54,0.146507,2.05794,14.1174,6,2145.51,0.145393,2.82063,34.1344,6,
4100.37,0.0682171,100,478.873,6,1958.53,0.0742839,0.142857,4.1536,6,2094.14,0.0647274,2.1045,14.7345,6,2335.62,0.0657099,4.65608,65.7018,6,
4232.35,0.0743253,100,472.968,6,2294.88,0.0561043,0.142857,4.17883,6,2403.54,0.0559797,2.11508,13.3675,6,2380.84,0.0701409,3.7873,45.3006,6,
3958.89,0.0791205,100,452.838,6,2430.98,0.0806462,0.142857,4.0956,6,2438,0.0819706,2.05476,13.0888,6,2470.23,0.076061,3.88095,48.6663,6,
4561.25,0.150608,100,468.353,6,2917.27,0.169859,0.142857,5.9098,6,2726.77,0.147446,2.08267,22.4293,6,3094.74,0.15705,4.01746,76.9732,6,
4939.91,0.121284,100,586.892,6,5364.79,0.121284,0.142857,4.924,6,6753.86,0.121284,2.46032,26.055,6,6751.61,0.121284,0.484127,19.161,6,
6224.95,0.039256,100,664.693,6,2712.72,0.0408944,0.142857,6.0946,6,3254.92,0.0354491,2.06085,21.1238,6,1986.3,0.0371951,2.39683,29.5657,6,
4322.5,0.0373215,100,461.529,6,2358.77,0.0395379,0.142857,4.0002,6,2037.58,0.0366458,2.04603,12.3678,6,1921.81,0.0375731,4.57778,50.016,6,
4226.09,0.457728,100,449.845,6,2930.11,0.465203,0.142857,4.213,6,3332.21,0.458768,2.09392,14.6567,6,3723.5,0.455783,13.8624,134.735,6,
4774.61,0.17858,100,491.744,6,2079.41,0.117916,0.142857,5.45,6,1935.27,0.115894,2.20767,15.395,6,1762.83,0.12747,0.887302,16.7252,6,
4707.96,0.0693226,100,472.004,6,1553.48,0.0527289,0.142857,4.134,6,2109.47,0.0523458,2.07804,13.1898,6,2149.23,0.0504168,2.07275,25.2232,6,
4739.02,0.0484561,100,436.917,6,2499.89,0.0521063,0.142857,4.05825,6,2257.65,0.0330636,2.25265,18.5833,6,2122.41,0.0480646,1.49206,20.7154,6,
4166.14,1.37382,100,423.971,6,1916.67,3.34113,0.142857,4.3428,6,1892.46,2.72599,2.38889,18.7236,6,2007.87,1.54715,3.25794,39.537,6,
4664.4,0.122356,100,469.468,6,3902.31,0.153787,0.142857,4.25667,6,2059.85,0.0894056,2.18585,18.1163,6,2644.43,0.114608,2.62434,27.9378,6,
4837.83,0.0799168,100,448.075,6,2283.78,0.0500794,0.142857,4.22717,6,2311.4,0.0779239,2.66667,26.0088,6,2650.05,0.0738904,2.58413,28.8592,6,
4512.16,0.0794717,100,466.431,6,2282.09,0.0818451,0.142857,4.342,6,2888.3,0.0797391,2.14153,15.8467,6,1902.32,0.0794389,5.48254,52.6412,6,
4542.24,0.111096,100,414.796,6,3639.44,0.110853,0.142857,4.40833,6,3661.55,0.110342,2.04762,11.6393,6,3700.54,0.110343,0.436508,8.27433,6,
4170.02,0.186675,100,493.306,6,2187.17,0.178246,0.142857,4.4692,6,2096.78,0.150135,2.08201,14.4153,6,2747.47,0.183389,6.69048,72.165,6,
4461.6,0.0407624,100,461.527,6,3219.8,0.0448891,0.142857,4.5218,6,2204.32,0.0408809,2.04841,12.675,6,2238.58,0.0411422,4.05397,51.2194,6,
5649.88,0.0591802,100,481.28,6,1568.74,0.0496714,0.142857,4.3896,6,2104.93,0.0481851,2.08598,14.2215,6,2141.16,0.0492209,1.45106,19.5795,6,
4370.25,0.0427392,100,467.123,6,2129.11,0.0477852,0.142857,4.3756,6,2355.45,0.0429059,2.04841,12.6942,6,2870.87,0.048074,7.35714,87.1052,6,
4234.09,0.0482149,100,423.162,6,1680.78,0.0307358,0.142857,4.3168,6,1650.76,0.0376579,2.46825,20.625,6,1722.49,0.037796,1.12063,19.98,6,
4820.26,0.134373,100,416.317,6,3873.98,0.134391,0.142857,4.246,6,3785.85,0.134377,2.05556,11.9077,6,3551.9,0.134374,0.539683,10.6993,6,
4694.52,0.211197,100,490.917,6,1692.01,0.182233,0.142857,4.4262,6,2349.33,0.229891,3.04683,32.6862,6,2648.48,0.226552,8.00635,90.5004,6,
4449.87,0.132081,100,476.026,6,1984.54,0.117444,0.142857,4.0544,6,2514.07,0.134406,2.18254,16.0934,6,2590.89,0.129908,3.91429,47.1608,6,
4770.39,0.0523706,100,468.23,6,1555.32,0.0591114,0.142857,4.11,6,1989.6,0.0504818,2.07606,13.4157,6,2239.62,0.0558949,1.99471,32.4808,6,
5862.98,0.0361396,100,672.651,6,3334.46,0.0423137,0.142857,5.3858,6,2607.55,0.0355036,2.05079,18.4554,6,2211.14,0.0362176,3.62222,66.0396,6,
8819.98,0.0488508,100,709.296,6,4319.56,0.0535672,0.142857,6.2122,6,3352.76,0.0446813,2.06415,20.2975,6,4140.64,0.0465853,4.97619,97.4372,6,
8072.03,0.0627882,100,666.53,6,3767.06,0.0586838,0.142857,6.181,6,4123.32,0.0662402,2.05159,19.536,6,3140.05,0.0895605,0.473545,11.784,6,
3907.39,0.0363268,100,469.698,6,1656.98,0.0307063,0.142857,4.0052,6,1578.72,0.0268999,2.0959,13.2802,6,2168.06,0.0280302,4.09788,48.0727,6,
4452.2,0.124049,100,465.844,6,2352.71,0.121644,0.142857,4.1032,6,2225.03,0.121419,2.11508,14.2298,6,2381.8,0.111683,2.33651,33.615,6,
4474.85,0.111124,100,465.141,6,2054.53,0.105057,0.142857,4.5142,6,2092.42,0.100071,2.13254,14.1234,6,2197.97,0.0987228,1.60635,21.9164,6,
