Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time QP (ms),Total time FP (ms)
0.778836,32.2384,40.551,1,9,1,3.277,0.001,1.029,0.05,2.194,32.958,1.727
0.707666,47.9122,106.546,1,9,1,3.007,0.001,0.778,0.045,2.181,99.304,1.646
0,42.202,86.582,1,9,1,3.399,0.001,1.038,0.047,2.312,79.185,1.674
0,54.573,114.815,1,9,1,3.567,0.001,1.212,0.069,2.281,107.245,1.734
0.729924,35.5769,42.907,1,9,1,3.375,0.001,0.965,0.075,2.332,35.227,1.61
0.00654603,144.984,52.356,1,9,1,3.404,0.001,1.06,0.049,2.292,44.54,1.799
0.0913456,93.0483,84.711,1,9,1,3.368,0.001,1.04,0.044,2.281,77.134,1.657
0.788741,25.5256,192.882,1,9,1,3.426,0.001,1.154,0.045,2.224,184.828,1.838
0,146.587,37.734,1,9,1,3.394,0.002,1.005,0.132,2.252,30.213,1.681
0.00928525,57.5035,98.68,1,9,1,3.39,0.001,1.011,0.047,2.328,91.037,1.704
0,26.3849,146.728,1,9,1,3.308,0.001,1.042,0.04,2.223,139.477,1.612
0.0942871,110.6,97.912,1,9,1,3.528,0.001,1.143,0.058,2.324,90.122,1.646
0.601208,44.7136,104.831,1,9,1,3.207,0.001,1.008,0.046,2.149,97.414,1.61
0,45.3801,75.831,1,9,1,3.685,0.001,1.123,0.055,2.503,67.933,1.755
