Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP,average_surprise
2.7909,9.71784,2.66667,1.0656,1.34601,5.78919,0.288758
1.80733,9.6651,2.66667,1.05427,1.35093,5.72805,0.310314
2.46142,9.74609,2.66667,1.06217,1.35583,5.79112,0.241422
2.68617,9.91134,2.66667,1.0852,1.3511,5.93644,0.259289
1.06348,9.58638,2.66667,1.04391,1.34707,5.6701,0.29563
1.56863,9.61927,2.66667,1.04758,1.35195,5.69585,0.244578
2.38931,9.7465,2.66667,1.0573,1.34424,5.83194,0.233203
1.06716,9.63594,2.66667,1.04664,1.35807,5.70555,0.295377
1.87039,9.78804,2.66667,1.06853,1.353,5.82878,0.246835
0.697801,9.78587,2.66667,1.04208,1.37065,5.80832,0.315723
2.49637,9.7062,2.66667,1.04601,1.34324,5.81155,0.208989
1.53759,9.74496,2.66667,1.05325,1.34775,5.82583,0.292978
1.37932,9.72397,2.66667,1.0561,1.35246,5.78418,0.260197
2.25052,9.68534,2.66667,1.06856,1.34972,5.74237,0.268765
1.59985,9.74115,2.66667,1.05319,1.35732,5.80648,0.270013
3.22746,9.94272,2.66667,1.0775,1.35308,5.98317,0.225432
2.38441,9.74092,2.66667,1.05918,1.36292,5.7934,0.234779
2.35832,9.79459,2.66667,1.05179,1.34673,5.8819,0.27904
1.924,9.79687,2.66667,1.05405,1.3492,5.8811,0.24151
1.63415,9.71144,2.66667,1.07295,1.3536,5.75886,0.251645
3.52595,9.77127,2.66667,1.05922,1.34197,5.84953,0.282331
1.77656,9.75135,2.66667,1.06365,1.36235,5.78047,0.249524
1.03484,9.74939,2.66667,1.04476,1.36193,5.80452,0.30966
1.03851,9.6764,2.66667,1.0547,1.35621,5.73374,0.272559
1.93797,9.79825,2.66667,1.05324,1.34345,5.89556,0.236982
1.30161,9.79877,2.66667,1.0501,1.35528,5.85333,0.346813
1.72472,9.71634,2.66667,1.04916,1.35291,5.78036,0.221502
2.12316,9.76368,2.66667,1.04753,1.34937,5.85936,0.250638
1.3478,9.63559,2.66667,1.05611,1.34948,5.69851,0.302826
2.06239,9.74683,2.66667,1.06984,1.34985,5.78273,0.244782
0.9548,9.59613,2.66667,1.05813,1.34832,5.6548,0.282094
2.22352,9.74692,2.66667,1.054,1.36028,5.8071,0.24482
2.27243,9.71576,2.66667,1.06228,1.34658,5.78525,0.241127
2.99668,9.90929,2.66667,1.0956,1.35271,5.918,0.213347
1.48424,9.81666,2.66667,1.07695,1.35579,5.8353,0.254268
1.61591,9.65434,2.66667,1.04334,1.35105,5.73999,0.234113
1.87125,9.72655,2.66667,1.05818,1.35544,5.77513,0.483463
0.875821,9.72334,2.66667,1.07184,1.35484,5.74098,0.339122
