Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
6.689,1.297,0.87,3.757,10.8889,0,0.000626365,0.0185708
6.805,1.251,0.89,3.848,10.5556,0,0.000292989,0.0179773
3.945,1.379,0.916,0.796,10.4444,0.00764764,0.00163445,0.017708
6.907,1.379,0.897,3.827,10.3333,0,0.000401405,0.0175293
6.11,1.238,0.96,3.055,10,0.288382,0.00156192,0.0174158
3.925,1.384,0.908,0.784,9.66667,0.0626105,0.0102153,0.0184253
5.291,1.218,0.897,2.334,9.22222,0.0578063,0.00439434,0.0187024
5.381,1.271,0.922,2.335,9.33333,0.00894894,0.00578006,0.019893
5.383,1.253,0.942,2.332,9,0.160223,0.0105779,0.025004
7.038,1.263,0.933,4.039,7.11111,0,0.00168962,0.0270473
5.269,1.139,0.922,2.343,6.77778,0.419225,0.00918362,0.0246621
6.716,1.099,0.915,3.866,6.55556,0,0.00182609,0.0256708
6.783,1.226,0.926,3.813,6.11111,0,0.0017121,0.0264137
6.456,1.036,0.959,3.706,5.55556,0,0.00091889,0.0284306
6.546,1.114,0.867,3.721,5.44444,1.28945,0.000812166,0.0286127
6.585,1.019,0.957,3.812,5.77778,0,0.000923175,0.0314658
6.752,1.031,0.892,3.804,5.77778,0,0.00071966,0.033427
3.42,0.956,0.881,0.75,5.77778,0.605005,0.00518115,0.0356091
6.57,1.071,0.891,3.835,5.44444,0,0.000701382,0.0389173
6.685,0.986,0.97,3.856,5.11111,0,0.000308988,0.0477862
6.654,1.02,0.909,3.91,4.66667,0,6.34038e-05,0.0535221
6.586,0.944,0.933,3.895,4.22222,0,0.000134211,0.0602544
3.57,0.955,0.971,0.783,4,0.6359,0.000514883,0.0675505
3.564,0.947,0.962,0.823,4.11111,5.04513,0.00189217,0.0750344
3.707,1.162,0.899,0.802,4,0.64561,0.0138077,0.0855313
4.997,0.884,0.905,2.363,3.88889,1.31547,0.0166953,0.0836409
6.637,1.009,0.967,3.859,3.88889,0,0.00472043,0.0907083
3.483,0.927,0.901,0.782,3.88889,0.0601289,0.0726052,0.104332
3.47,0.902,0.921,0.789,4,0.574161,0.0935887,0.0671053
3.53,0.954,0.922,0.797,4,0.741216,0.070452,0.0154169
7.021,1.076,0.902,4.236,4.77778,0,0.000728442,0.0154237
3.688,1.039,0.973,0.796,4.77778,0.249603,0.00671516,0.0139148
5.161,0.98,0.983,2.337,4.66667,1.09291,0.0027775,0.010934
6.454,0.937,0.865,3.839,4.66667,0,0.000597866,0.0108323
5.85,0.999,0.968,3.069,4.66667,1.53768,0.000281406,0.0104421
6.505,1.038,0.869,3.806,4.88889,0,0.000206956,0.0105404
3.657,1.104,0.964,0.766,5,0.430026,0.00177725,0.0102465
3.829,1.216,0.968,0.83,4.77778,0.147926,0.00356548,0.00971361
6.876,1.175,0.963,3.962,5.44444,0,0.000486074,0.00962755
3.497,1.007,0.861,0.772,5.44444,0.221567,0.00155445,0.00933317
6.101,1.147,0.902,3.213,5.55556,0.458051,0.000791297,0.0091211
6.9,1.169,0.96,3.981,5.66667,0,0.000451609,0.00928975
6.751,1.184,0.878,3.885,5.44444,0,0.000156745,0.0098908
3.695,1.153,0.872,0.795,5.44444,0.894993,0.00160122,0.00899381
3.717,1.163,0.887,0.814,5.66667,0.385546,0.00181123,0.00902711
6.758,1.149,0.862,3.924,6.22222,0,0.000236898,0.00917517
6.853,1.12,0.964,3.922,6.11111,2.78053,0.000186731,0.00934566
6.949,1.232,0.88,3.96,5.88889,0.508972,0.000332169,0.0101364
6.582,1.022,0.887,3.861,5.77778,0,0.000599024,0.0112956
7.037,1.335,0.911,3.981,5.77778,0,0.000350758,0.0134065
3.757,1.151,0.904,0.838,6,0.361204,0.00323157,0.0137556
6.78,1.079,0.874,3.985,6.11111,0.371066,0.000434088,0.015331
3.888,1.325,0.882,0.808,7,0.154436,0.0104539,0.0158375
6.221,1.159,0.895,3.311,6.22222,2.26136,0.00244711,0.0106423
7.984,1.809,0.906,4.358,14,0.922926,0.000643077,0.0104656
7.949,1.954,0.884,4.233,17.8889,0,0.000508795,0.0111268
7.09,1.991,0.871,3.326,17.7778,2.08259,0.000760493,0.0108597
6.337,2.002,0.967,2.48,17.3333,0.563326,0.00269472,0.0107468
6.09,1.793,0.883,2.457,14.6667,2.41242,0.374659,0.322344
4.284,1.608,0.961,0.838,14.1111,0.541213,0.339924,0.173358
5.149,2.51,0.871,0.873,25.8889,0.987116,0.118455,0.0561115
7.554,3.049,1.048,2.516,33.4444,1.32532,0.0119515,0.040528
8.416,2.63,0.87,4.086,31.7778,0,0.00132405,0.040946
8.462,2.586,1.153,3.883,31.5556,0,0.00138346,0.0425903
8.364,2.544,0.877,4.102,31.5556,0,0.00089839,0.0435589
8.317,2.378,0.89,4.16,31.2222,1.70068,0.000558136,0.046481
5.213,2.459,0.976,0.87,31.6667,1.11925,0.040102,0.0398121
5.101,2.463,0.921,0.83,30.3333,0.563167,0.024937,0.0416043
5.135,2.518,0.889,0.849,28.1111,0.671637,0.0358345,0.0208479
5.476,2.056,0.865,1.626,21.5556,0.197406,0.0114028,0.0192392
7.152,2.213,0.927,3.129,27.8889,1.44164,0.0029032,0.0160914
8.15,2.399,0.965,3.891,31.3333,3.98763,0.000704602,0.0147083
7.988,2.299,0.978,3.835,27.8889,0,0.00140786,0.0387893
4.952,2.243,0.975,0.846,27.3333,0.643978,0.0338214,0.0193969
7.411,2.391,0.935,3.234,25.5556,0.330908,0.0036558,0.0186056
7.989,2.126,0.969,4.026,24.2222,3.05777,0.00181302,0.036722
6.818,2.558,0.952,2.43,32.8889,1.83452,0.01,0.0210826
5.592,2.681,1.114,0.928,33.6667,0.862884,1.08125,0.627536
5.521,2.879,0.993,0.801,38.2222,0.82256,0.417105,0.436053
8.606,3.164,0.914,3.741,41,0,0.0242892,0.455564
5.396,2.881,0.867,0.809,40.8889,0.492994,0.500861,0.221031
5.213,2.719,0.909,0.759,39.4444,0.388146,0.247184,0.162813
5.189,2.708,0.909,0.76,40,0.441026,0.14019,0.10462
5.43,2.969,0.861,0.781,48.1111,0.86178,0.0975574,0.0263325
5.436,2.83,0.995,0.772,45.2222,0.786624,6.30485,0.306847
5.657,3.192,0.884,0.763,48.8889,1.03867,0.297577,0.0334701
7.729,3.71,0.93,2.272,51.7778,1.4368,0.00988651,0.019526
9.095,3.423,1.114,3.733,48.7778,0.442784,0.000982615,0.0204987
6.113,3.359,1.141,0.794,46.5556,1.48218,0.174935,0.0172771
7.959,3.896,0.897,2.342,52.8889,0.999136,0.00347678,0.0139692
6.398,3.841,0.918,0.819,50.2222,1.30635,0.170551,0.0303246
6.712,4.152,0.889,0.815,53.6667,0.207628,0.0158202,0.0275638
6.725,4.145,0.879,0.821,54.2222,0.015392,0.0171934,0.028922
6.733,4.094,0.972,0.814,55.4444,1.21527,0.536892,0.0640796
6.378,3.55,1.177,0.825,52.7778,0.753134,0.0498495,0.0278897
9.966,4.071,0.896,4.113,54.7778,0.401062,0.00107394,0.0278883
7.195,3.769,0.88,1.671,54.5556,0.00546512,0.0117724,0.0303328
9.233,4.222,0.926,3.204,55.2222,2.14962,0.00365225,0.0232971
5.801,3.065,1.179,0.756,47.1111,0.794924,10.0027,0.459551
6.14,3.021,1.461,0.82,48.8889,0.905882,0.427792,0.198292
6.482,3.473,1.32,0.82,52.2222,0.795241,0.172151,0.0804305
5.594,2.837,1.203,0.764,45.2222,0.787013,14.3313,0.117925
8.833,3.152,1.241,3.689,50.2222,0,0.00771517,0.124911
8.282,3.404,0.975,3.064,49.8889,0.812863,0.0119375,0.127062
7.668,3.373,1.165,2.274,49.4444,1.25033,0.0324355,0.0928161
5.528,2.99,0.91,0.809,46.5556,0.76599,2.23728,0.600474
5.558,2.9,0.956,0.846,42.8889,0.797498,0.802817,0.0705269
6.724,3.161,0.94,1.738,39.8889,0.969867,0.0406592,0.0391393
5.895,3.151,0.932,0.903,41.7778,0.162505,0.0188681,0.0382931
5.925,3.147,0.947,0.88,43.6667,0.620625,0.0272649,0.0259058
8.348,2.952,1.007,3.477,44.5556,3.07062,0.00347908,0.0160857
5.428,2.644,0.965,0.908,39.6667,0.881252,1.8252,0.195938
5.695,2.814,0.985,0.943,36.5556,0.872308,0.159924,0.0620583
6.03,3.142,0.993,0.907,40.7778,0.286569,0.0445951,0.0514024
6.254,3.306,1.034,0.936,42.6667,1.11638,0.0349144,0.0186214
5.819,2.854,1.021,0.949,41,0.896687,8.55215,0.759163
6.235,3.228,1.039,0.977,41.3333,0.79133,0.930171,0.0766509
8.084,3.31,1.024,2.76,41.7778,0.188975,0.0335367,0.0753722
9.864,3.567,1.054,4.304,42.8889,0,0.0779599,1.29143
9.912,3.221,1.384,4.312,42.6667,0,0.114494,1.34553
9.306,3.065,1.027,4.279,41.1111,0,0.107405,1.46599
9.319,3.005,1.023,4.318,39.7778,4.56391,0.0857604,1.21418
5.924,2.921,1.042,0.992,37.5556,0.388985,1.29279,0.943775
9.257,3.061,1.03,4.218,36.5556,0,0.0807544,0.980124
9.197,2.919,1.028,4.27,35.7778,0,0.0744022,1.02645
8.942,2.733,1.069,4.193,35.1111,0,0.0308947,1.0853
8.903,2.652,1.047,4.256,34.5556,0,0.00901991,1.12016
8.96,2.723,1.026,4.273,34,0,0.00544492,1.20311
9.087,2.517,1.165,4.454,32.7778,0,0.0256508,1.30592
8.643,2.48,1.003,4.179,32.1111,0,0.0102615,1.43355
8.805,2.592,1.02,4.238,32,0,0.0235295,1.50806
8.279,2.244,1.001,4.133,30.7778,0,0.0109285,1.68139
8.574,2.54,0.976,4.156,30.2222,0,0.0321827,1.89362
8.577,2.545,0.983,4.145,29.7778,0,0.0148335,2.01691
8.672,2.581,0.963,4.224,28.6667,0,0.0429226,2.3017
8.246,2.235,0.971,4.128,28.1111,0,0.0402676,2.6434
8.328,2.311,0.979,4.116,27.6667,0,0.102465,2.8377
